,Rating,Lang,Type,Country,Date,Helpful,translated
193,5,de,Verified,Germany,16/09/2020,,"I bought this sleeping aid from Fisher Price, because we also have the old version in the form of a penguin (now 8 years old and still works).This otter is really sweet. He has a very good choice of music. My son (3 years old) doesn't want to fall asleep without him anymore. Even the movements of the belly are quiet and with the turn on of the light children no longer have any fear in the dark.A second otter was already worried for my niece, because the enthusiasm of the parents is also great."
196,5,de,Verified,Germany,13/12/2020,,"My niece (1 year) loves the slumber otter. He goes to bed with her and sometimes she also plays with him alone. She can turn him on and off herself. I gave him to her because she often got very quenchy at lunchtime. With ""Otti"" this works better now. You can adjust different melodies and sounds. His belly lifts and lowers. I give him more often because he is not only sweet, but really helps to fall asleep and so relieves everyone a little bit and he always gets very good."
197,4,de,Verified,Germany,1/10/2020,,"Great and so realistic with heartbeat, music, breathing and light! Volume can be regulated and by pressing on the belly can deactivate the set function as well as activate again - this is great! You just have to love it! Unfortunately the breathing function cracks already after a short time, which can be very disturbing when falling asleep! Also it imposes itself more often! But otherwise a real lovable and great stuffed animal!"
198,5,de,Verified,Germany,23/01/2021,,"Our son is already 1 year old and just as long we use the Otti already during the evening ritual to fall asleep. We like above all the pleasant music, not too intrusive, not too loud or shrill. Simply relaxing to fall asleep. We only use the light for some time, which is also very nice. Not too bright, very warm light which alternately becomes brighter and darker again. All in all a great music box."
200,4,de,Verified,Germany,14/01/2021,,"I am very satisfied with the slumber otter. You can adjust the volume of the music individually & I like the choice of the sleeping songs that it plays. I also like that you can also switch off the abdominal movement. The only drawback is that it is relatively hard. You could have taken better care of the price, that the otter is better padded out. Because you can feel the engine very clearly. That's why there is also the one point deduction."
202,5,de,Verified,Germany,23/11/2020,,Would the part buy again and again and find it very well suited as a gift. It plays several melodies and simulates breathing and heart sounds. My little one also often presses the part in sleep and does not want to miss it anymore. The heart also gives off some light so that when she wakes up it is not pitch dark in the room.
204,5,de,Verified,Germany,5/3/2021,1,"I can't believe it. Since Paul, the Otter moved in, Mausilein can fall asleep and sleep alone.She was not a ""delete"" child and needed mom or dad to sleep. Either on his arm or next to both. It works completely without us and even the pacifier spits it out before.First of all, ours is so demanding that the otter is meaningless, wrongly thought.I can recommend the otter to anyone."
205,2,de,Verified,Germany,30/01/2020,1,Would be a nice sleeping toy if the engine of the belly breathing wasn't constantly defective. I now sent the second one back with defective.Otherwise music and light very nice. But for the price I expect a baby toy to last longer than 2 months. Therefore I can't recommend it.
206,5,de,Verified,Germany,9/2/2021,,"Great gift for future parents. I have already ordered several times for young children with friends and family and was always one of the best gifts and investments.The noise level is fine. The smooth movement of the belly calms the baby and the otter conveys a situation similar to that in the mother's belly. It serves as a sleep aid for babies and calms it at the same time.One of my favorites presents, on the one hand it makes a lot of visuals and on the other hand the functionality is also exciting and highly recommended!"
207,5,de,Verified,Germany,13/02/2021,,"Hello and good evening, We have the Otter now about 2 weeks and I have to say I'm thrilled. The volume is adjustable, it makes music, heart tones and much more. Due to the adjustable volume you can control the noise level. This disturbed me to the normal mobiles arg, because the meanwhile are so loud that you can hardly talk normally. I can not think it away at all. Our small mouse (3 months) sleeps every evening with it and is totally relaxed. The best thing is that you can remove the electrical part from the middle and thus wash the Otter super. Therefore, at any time a recommendation value and I would give it away also every time. I hope I could help with this review. Have fun with the little friend "
208,5,de,Verified,Germany,3/12/2019,,"The little otter is magical! It imitates sounds from the womb, such as the mother's heartbeat or the noise, like in the amniotic fluid. It also makes breathing sounds and the music is very pleasant and soothing. You can also adjust the volume! A sweet gift!"
209,3,de,Verified,Germany,19/07/2020,,"We bought it as a gift. Visually it is a highlight...very sweet and well processed.The breathing movement and the light on the belly are also great.For me, the sound effects (heartbeat and mother's womb sounds) are too artificial and irritating...The music is also not that what you know about musical clocks but rather psychedelic."
210,3,de,Verified,Germany,1/3/2021,,"We bought the otter around the Black Friday. Our daughter then got it at Christmas and a month later it was unfortunately defective. We got a new one very quickly however. (For 5 stars) However, in my opinion you have to change the batteries very often, which is why we switched off the breath and the air function. Thus the battery lasts longer.Our daughter likes the otter, however, I find the constant price fluctuations between 35 and 45€ quite questionable... for 45€ I would definitely not have bought the otter."
211,5,de,Verified,Germany,13/10/2020,,"A very nice mobile. She takes this better than the baby phone-like mobile. The music is nice relaxing and sounds great. We haven't tried everything else that way yet. The plush is probably what she likes. I like the extra light, also that it goes out before the music goes out. It was worth the price."
212,5,de,Verified,Germany,8/12/2020,,The otter itself is worth its money. Our little one loves it from the first day on. The melodies are soothing and the volume can be adjusted perfectly. Slowly our little one's eyes fall too while he listens and looks dreamy on the small night light on the belly.But also with adults... ;)
214,5,de,Verified,Germany,26/11/2020,,"But tonight, as if he had guessed what to get for Christmas, there was no way to go to sleep. So the Christmas present was preferred and the otter unpacked. I thought it was very good that it could go off right away and not first had to be filled with batteries. Every mom / dad knows it - the baby screams it has to go quickly. The otter arrived at the otter, the little one accepted it very well, of course he found the light very great. It didn't take two minutes and he slept. And small tip on the edge: With dad it also works great! "
215,5,de,Verified,Germany,12/1/2020,,"Our ""Ottie"" is very popular. It is already taken here over all she wants to sleep with. My mouse sleeps since the quieter. And I can push her away after the good night silently without crying she sleeps with her ""Ottie"" nice on. With us the Ottie ""sniffs"" the function is great because my husband and also I are snoring or breathing in the sleep sound. So I can get up again in the evening. He is very fluffy. Alas, if he could be even more upholstered. Since the ""machine"" is still quite hard when you get it to the head. XD.That the belly moves still as if it really breathes is very soothing. Cheap batteries keep up with full function 2 nights. I find that is a very high power consumption."
216,5,de,Verified,Germany,7/9/2020,,"The slumber otter was a gift for my 9 month young nephew :-)It is totally soothing, comes to rest and can fall asleep better through the gentle melodies, even the bigger sister, who also comes to rest faster :-)The otter has already become a sleeping ritual for the two :-)"
219,5,de,Verified,Germany,15/01/2021,,"We have been looking for a suitable music box for a very long time. With my son we had such a sleep bear with heart and noise sounds 9 years ago, this was really terrible...he was terribly loud and the sounds were more indefinable, cracked,.After a long search and reading through all the recessions we decided for this one and we are all super enthusiastic :) my son (9 years) also finds it great. The melodies are beautiful and the heart tones sound at least also to heart. The volume is adjustable, the light goes on or off and the breathing of the otter is also switchable on or off. All in all a super great, sweet cuddly animal that is definitely soon loved and needed intimately!!!"
220,5,de,Verified,Germany,8/11/2020,,"Really great part!The otter is very well processed in quality, the sounds don't sound tinkering and the operation is very easy.The melodies on it are actually very soothing and my baby sleeps very well. I can definitely recommend the otter, it also makes itself very good as a gift."
221,3,de,Verified,Germany,12/1/2021,,"The otter is totally cute!! The sound is also great. The ""motor"" is still quite loud.. I would have hoped that you could not hear it so clearly. the otter would also have been a little better ""to be filled "" since you can tap the electronics / battery. My baby is not yet in the world - yet I hope very much that the otter can calm them down or she can sleep well with him."
222,5,de,Verified,Germany,2/12/2020,,"We fell in love with this little otter already at the beginning of the pregnancy. On Black Friday the little one was ordered and arrived a short time later. The music is very pleasant, the breathing certainly calms for the child and overall makes this toy a great impression! It was also important to us that the toy is washable, if something goes wrong and that is also possible here, wonderful!"
223,4,de,Verified,Germany,1/12/2019,,"My little one (3 months) falls asleep much better. At first I was skeptical whether such a part really brings something. Our little one only falls asleep when you weigh it or wear it. If he is tired now, we put the otter next to him and he finds himself in sleep. However, there is a point trigger because the motor that makes the breathing movement is really loud and because this whole construct in the otter is really clumsy."
224,4,de,Verified,Germany,1/1/2021,,"The otter is definitely positive with our baby, the melodies are also bearable for adults and please the child, it is still relatively cuddly despite all the technical interiors.The night light is a little weak, but that was not the most important thing for us when buying.As a dad I can only criticize the processing of the Velcro fastener at the back and the screw connection of the battery compartment at first. I think that one could find a more subtle solution at the back. Despite all this, the whining is at a high level and I can make a clear purchase recommendation."
225,5,de,Verified,Germany,27/11/2020,,The greatest thing we have ever bought!My baby 6 months and I sleep so well with the beautiful music. Very relaxing and very nice slumbers!I only hope he lasts very long and doesn't break so fast.The heartbeat and the breathing movements are also good. So far the money has always been worth it.
227,4,de,Verified,Germany,17/03/2020,,"Great stuffed animal, our six-month-old son loves it, so far we did not have a defect (after about four months of use) and the otter is also good washable. There are two criticisms, however, why a star was pulled off: 1. The engine for the breathing movement is relatively loud, especially if the environment is very quiet, like for example to fall asleep and also the quietest volume of the melodies / sounds is not yet quiet enough for our taste. 2. We have meanwhile switched to rechargeable batteries, since the otter is a battery eater when used. So buy your wallet and the unworldly for your sake suitable batteries."
228,5,de,Verified,Germany,18/11/2020,,"So something of sweet and fluffy. I love him. Lamp lights up briefly and moves his belly while breathing. He purrs briefly and plays beautiful soft melodies. Couldn't test him yet because I packed him as a gift but what I saw, heard and felt is top. Would I buy again."
231,4,de,Verified,Germany,3/11/2020,,"Super sweet otter to fall asleep.In many reviews it is mentioned that the otter is not so cuddly. It is already soft and cuddly, however, you should not forget that there is an engine in the otter. This ensures after all for music and the abdominal movement and for that it is quite cuddly.We find the otter great and make it go to bed in the evening."
232,4,de,Verified,Germany,30/11/2020,,"Sweet otter for the very small ones.Unfortunately, the engine is very disturbing you can hear it extremely when the otter breathes.Otherwise, to look at it sweetly and the light is very practical at night. The melodies and sounds are pleasant. Would use it right from birth so that the children get used to it."
238,5,de,Verified,Germany,3/11/2020,,Totally sweet! We all love our Mr Otter. Super sleep help for our daughter (8 months) and cat to fall asleep we always take the melodies. Find it only very bad that the otter automatically ends after only 30 minutes. Our daughter wakes up during her midday sleep.
239,5,de,Verified,Germany,28/12/2020,,"We love him. My little one has had him since she was 2 months and we can't think him away anymore. He helps her very much to fall asleep.Little down, the engine is quite noisy when you turn on the function where the abdominal wall rises and lowers. As this is very annoying we don't use it. All other noises and settings are separately adjustable and adjustable."
240,3,de,Verified,Germany,30/10/2019,1,"The otter itself, is cute, and also cuddly. Unfortunately, I have to say that I feel the engine as quite loud, which does not contribute to falling asleep. The music, goes like this, unfortunately they are not played very long and changes quickly. Also the noises, I find sometimes rather disturbing, rather than reassuring. With us, he unfortunately did not help."
242,4,de,Verified,Germany,8/11/2020,,"I haven't really understood the hype around this otter so far.I bought the slumber animal as a gift, but tried it myself out of interest before.I felt the breathing noises were disturbing, and despite the timer, the music continued to doddle in endless loops in the early morning hours."
245,3,de,Verified,Germany,5/10/2020,,"Unfortunately, after a few days it turned out that it has unfortunately a malfunction. Writed for a refund & I should take over the shipping itself?! I should now pay for it, that I got a B- goods sent?! Very disappointing. The first few days it still worked, only unfortunately the motor movement was rather loud from the beginning and then it has already given up the mind. The music itself was beautiful & only unfortunately does not work with the movement. I am glad that I did not give it away."
247,5,de,Verified,Germany,1/12/2020,,"Otterchen has been in use since the 1st day after being released from the hospital and also several times. The battery stops and stops :) However, we only use sound and light. If our little one weng times, we do the white noise. There are no sound differences at the moment and therefore Otterchen deserves an absolute purchase recommendation. The light could possibly still tolerate a color changer, but I am enthusiastic about the sound as well as the other functions."
248,2,de,Verified,Germany,2/3/2021,,"I received this article already in December, because I expect young people in June and really looked forward to it after all the awards on Instagram and Co.. I noticed already at the first commissioning that one attitude gives an incredibly disturbing noise of itself and that the engine is still very loud during the breathing movement. In my opinion therefore not at all suitable for newborns or babies. The functions themselves are really sweet, so I ordered it again, in the hope that it was a Sunday model. Unfortunately this was not the case."
249,5,de,Verified,Germany,10/2/2021,,"Mega Sweet, very nice for big and small. The melody from the tone is really top there are so many bad music clocks but this otter just sounds great of the quality also the songs that are played are very soothing "
250,3,de,Verified,Germany,12/1/2020,,"The Otter is a nice gift with many great options. As a music box it is great.However, I can't recommend it to cuddle because the engine inside is hard and it can't be cuddled and it is very difficult for small baby hands. Nevertheless, a nice companion for the night."
252,5,de,Verified,Germany,19/11/2020,,"We have great pleasure with the otter... the heart tones sound like in the mom's belly and have a calming effect on my daughter! Super also that the volume can be adjusted individually. My daughters got the otter with 5 weeks - now it is 9 weeks and starts to look at the light and grab!We are absolutely satisfied and I am sure that with increasing age the other functions with joy will come to use! Which also totally inspires me, that you can take the music part inside out quite easily, and the otters can give so in the washing machine!Absolutely recommend further and especially useful for newborns!"
254,3,de,Verified,Germany,17/11/2020,,"My niece doesn't like it. When switched on and off, the cuddly toy sucks enormously. It looks cute and fluffy, but also hard because of the electronics. So no real cuddly toy. I wouldn't buy it again."
255,5,de,Verified,Germany,16/11/2019,,Price/Performance Top! The slumber otter has several functions that can be combined with each other. Light music (very pleasant volume) Breathe heartbeat belly rhythmically up and down move. The otter runs 30 minutes and then goes out. Highly recommended! My 2 1/2 year old daughter loves him.
256,3,de,Verified,Germany,17/07/2020,,"One of the Otters has already given up the spirit. It was for the grandchildren. There were tears that one already does not work. Since I am not on site, I can also do nothing, send back etc. - A replacement would have been very good. Now we have a sad child."
257,5,de,Verified,Germany,4/2/2020,,Just recommended and not to think away from our household anymore. Our son got the otter at just under 3 months at Christmas. Since he is plagued by colics a somewhat restless child we tried a lot to create calm. Since we have the otter it works great! He tries to crawl into it formally in it is so sweet! Only disturbing point are they perceptible engine noises while lifting and lowering the chest. The little one obviously doesn't mind! We use it exclusively during the day when the little one is under observation. At night I see the danger that he could suffocate because he is really pressing his face on the otter.
259,5,de,Verified,Germany,26/05/2020,,My little one sleeps very well with it. He looks cute is half well upholstered and that would definitely be better. He can be washed what was very important to me and after a short period of frustration when the breathing was no longer in and let it be turned off now everything works fine again.
260,2,de,Verified,Germany,7/12/2019,,"The otter is very soft and well processed. The inside is removable, so that the cuddly toy can be washed. Operation is simple and easy to use. Nevertheless, this sleep aid is only partially suitable for babies. The engine that lifts our stomach is unfortunately so loud that it completely overcomes the soothing sounds when they are set to a quiet volume. If the sounds are at maximum volume, you still hear the engine. This is quite annoying. Since we can't use this product to fall asleep with all the functions (only lift and lower the belly), we decided to return the product."
261,5,de,Verified,Germany,18/11/2020,,"My daughter is totally on the otter. However, after 2 months of intensive use he has a problem. The engine for the belly no longer works and the hum of the engine is hardly overhearable and almost overcomes the loudest attitude of the music level.When I bought this little guy at the time I paid almost 60€. I have to say honestly for the short life is to me in hindsight but I would have expected that he will last longer."
262,5,de,Verified,Germany,3/12/2019,1,"My baby loves him and is now tighter to fall asleep.I don't want to think him away anymore.I also had problems with the electronics after about 3 weeks, but it turned out that this starts, a safe sign is to replace the batteries "
263,5,de,Verified,Germany,30/01/2021,,The otter is really a great gift for the little ones among us. Due to the different tones and melodies a good sleep help. What also has to be said: in case of problems the seller is really very friendly and tries to help as soon as possible or to exchange the toy / to send again. Really top
264,5,de,Verified,Germany,25/12/2020,,"So my son is 3 months old and he likes the otter. Due to the volume control it is optimal to adjust. Different functions enrich the whole still... Like e.g. noises like from the womb, calm the light and breathing of the otter. I am thrilled. It has been very pleasant. Top gift."
266,4,de,Verified,Germany,7/6/2020,,"An optically totally sweet playmate. The varied and individually controllable functions convince me, the engine also does not feel as too loud. However, the control element is very large and also heavy for small children's hands. In addition, the cuddly otter from the back is not well lined, so that you can feel the edges of the engine strongly. For this there was a star trigger, because it takes on cuddly quality. I will add something to our otter from the back to make it softer. The necessary space is available in the music box."
267,5,de,Verified,Germany,15/11/2019,,"My children love him!! First of all I bought the otter for my 1 year old son, because it took him a long time to fall asleep and was constantly awake at night. But also my daughter (3 years) and also I can sleep great with the sounds! I use the mother's body noises, the music box and the other functions I do not use. Due to the adjustable volume you can adjust the sounds individually. My son cuddles with the otter and falls asleep in a few minutes. When he wakes up at night, I press the otter only briefly and my son falls asleep quickly again. New batteries last relatively long! (approx. 1 month) Only criticism: with older children the breath function does not work if the otter is held sideways in the arm or the arm is placed over the belly of the otter. therefore I have completely disabled the function, as the otter would otherwise constantly shut off."
270,1,de,Verified,Germany,22/01/2021,,"I received the Otter as a replacement order, because the first one on the electronic part was a bit defective. Now I get this one here, which works normally, but: the quality of the fabric is not the same! The Otter has only a ""painted"" face, while the other one was embroidered with the nose, whiskers and the mouth. Which is of course qualitatively inferior with the replacement now! I will probably have to send it in again and hope to get a reasonable replacement until the birth of my child. At the price one should expect that!"
271,5,de,Verified,Germany,27/12/2020,,"I was skeptical at first, but our little son thinks it's great. The volume can be super regulated. What spoke for me very much for the beaver was that you can take it completely apart to wash the fabric when it's dirty."
273,4,de,Verified,Germany,17/12/2020,,"Very sweet, the light is good, the music is beautiful, the ""real"" heartbeat very soothing.Beautiful would be if you could make something quieter.Simply ridiculous, on the other hand, I find the ""snoring"", there comes a comic noise à la ""chrr pijuuu""... Does not need such a person."
274,5,de,Verified,Germany,25/11/2020,,"The slumber otter is not to be thought away anymore!!! It was immediately super accepted and I find the music as well as the sounds very soothing and pleasant! Wouldn't have expected it to arrive so well with us, since we also have other musical clocks. But somehow it radiates calmness."
276,1,de,Verified,Germany,12/9/2020,1,"First delivery: Breath movements don't work. Second delivery: Engine is so loud, I don't want to do that to my child.Unfortunately, I was really looking forward to it."
278,4,de,Verified,Germany,11/8/2020,,"We and our daughter love the otter, it has many functions, is totally fluffy and the volume can be adjusted super. The only drawback and therefore also a star pull off: The engine is very loud when ""breathing"", which is why we cannot use the functionWe will buy another 2.Otter for the sibling because it arrives so well."
279,5,de,Verified,Germany,27/12/2020,,Umbeding BUY!!! Worth every cent! Make the otter always on when I lay down my little one (2/3 months) he sleeps suoer with the otter & even me he calms down ;) Volume can also be regulated! The breathing movement are also dear & the music very pleasant :) 10min always the breath with music & dan 20 minutes only music without light
281,5,de,Verified,Germany,17/12/2020,,"It works and that's all that matters. The otter was bought for the 3 month old baby for birth. But the big brother at 3.5 years has torn the otter under the nail. He sleeps deeply and firmly with it. Thus, the mother has more time for the baby, what it takes. We assume at the moment that if the big one doesn't need it anymore, the otter passes to the next one. Otherwise we just get a second one. Clear purchase recommendation."
282,4,de,Verified,Germany,18/01/2020,,"Unfortunately, the otter was defective or mechanically broken at delivery from Hungary, so it was sent back.That's no problem, the shipping costs of 17.99€ will be refunded.Optically, the otter is very appealing for babies. My son immediately reacted to it.The otter is fluffy, but also clumpy, so it might be suitable for cuddles later.... I would probably fill it with cotton wool and then sew it :)"
283,4,de,Verified,Germany,12/11/2020,,"We are very satisfied with the slumber otter. One criticism is that the switches of the otter lie under a Velcro fastener, which is very loud to open and thus wakes the child if you want to adjust something else.A zipper or a remote condition would have been the better variant.Otherwise we are satisfied and if you want to have all the functions on/off, you can simply press the otter on the belly."
287,2,de,Verified,Germany,11/10/2020,,"+ Very sweet and fluffy Otter+ my daughter likes to cuddle with it - The mechanics while breathing is simply mega loud, and it's tangled all the time. Relaxed falling asleep can't be called that"
292,5,de,Verified,Germany,2/1/2021,,"My baby (6 months) got the otter from us at Christmas and closed right into the heart. The many functions will certainly accompany the little man even into the toddler's age. Personally, I find that the quietest step could be a little quieter. But that's also a matter of feeling."
293,1,de,Verified,Germany,26/06/2020,,So I was very disappointed looked so great on ddn pictures but when it arrived it looked very cheap and also made a lot of noise with the individual functions so I wouldn't recommend it anymore but should everyone try it themselves
294,5,de,Verified,Germany,18/02/2021,,"We can't be without slumber otti anymore! He's no big guarantee that our lit will fall asleep immediately when you turn it on. But he calms it down immensely! He listens (we have heart or breath sounds running), looks at the light and the moving belly and comes down really well..."
295,5,de,Verified,Germany,14/09/2020,,We just love this otter sooo very much. My little one. Always sleeps with him and has him also always close to him 
297,5,de,Verified,Germany,10/9/2020,,Find the otter great! Sinked a bit in the beginning but that was quickly gone. Once washed and everything great. Our little one loves to fall asleep. Especially the breath function is great.
298,2,de,Verified,Germany,12/12/2019,,"It's not good to handle, because the electronic element must be very well hidden in the plush, because small children should not be able to open this.The ""abbreviation"" operation sometimes stops after a few seconds and has to be restarted.This interrupts the sleep-in, slumber status of the child.Supplement on 194.20:After only 5 months the part has given up the mind!!!Sad and very shameful, since it was given away to the granddaughter (at that time 5, now 10 months)."
300,5,de,Verified,Germany,31/01/2021,,"I think it's good to be able to play music or the heartbeat. A set how loud or quiet you want it to be, whether the light should be on the belly or whether the belly should move up and down. I can only recommend it."
301,4,de,Verified,Germany,3/12/2020,,"The otter is visually really very sweet and also feels very cuddly. But as some others have pointed out, the engine is quite loud and at least not well padded in the back. Machines washable even only cold possible.I like the settings in themselves and the light is also very pleasant.So if you don't mind the buzzing of the engine, it is a great toy."
302,5,de,Verified,Germany,26/12/2020,,"Great product!!! This gift arrived really well. The cuddly toy and the cover are soft, you can take it off for washing. Sounds, movement and light work perfectly and actually look very soothing."
303,5,de,Verified,Germany,25/10/2020,,Very sweet. We brought this for our daughter. Volume adjustment is very easy to adjust via the opening of the back. Easy to wash that you can completely remove the electronics.
305,5,de,Verified,Germany,2/12/2020,,"I bought one for my granddaughter. She already had one, but he stays in the daycare center. And now I bought one for home. Really a cute u great part. It deserves 5 stars."
306,5,de,Verified,Germany,5/2/2021,,"Our son likes the otter very much. I like very much how many possibilities there are.Unfortunately, that he is sold out here again and again and is partly at shameless prices in it. I was lucky"
307,1,de,Verified,Germany,10/2/2021,,"The engine of the breathing movement just way too loud.That can't be right. Could a defective model be sent? Also, that the slumber otter was only packed in a bag, without a carton, seemed to me unscrupulous."
309,5,de,Verified,Germany,3/3/2020,,"The toy looks sugary and supports the parents with all kinds of functions. When giving away, the father felt the breathing movement as creepy. But I and the baby loved everything. :)"
310,4,de,Verified,Germany,1/2/2021,,"We find the otter very sweet and it is a great music box replacement.Our baby is not yet in the world, but I already play the songs before us hope they will be recognized again.The melody is very soothing, also for me.The motor for the abdominal movement is too loud for me, we will not use that.Everything else is very good (noise, light, volume regulation)."
313,5,de,Verified,Germany,19/12/2019,,"We bought the little Otti for our adoptive uncle and can only recommend the cuddly friend to everyone, so sweet and to fall in love. The sound is very harmonious and the different settings are perfect, also that you can adjust loud and quiet, is totally great. have not regretted it so far, but could possibly be a little cheaper. Nevertheless I would buy it again."
314,2,de,Verified,Germany,11/1/2021,,"The slumbery Otter is a good idea and my boy finds it classy. However, our Otter either has a wobble contact or is already broken after a very short time. Instead of 30 min. the functions run out within seconds.For the price not again. Disappointing!"
315,5,de,Verified,Germany,14/12/2020,,"We bought 2 OTTER for our twins ( 10 months)... On Saturday the 2 moved in with us and we love them all, even my 4 year old is thrilled (she also gets one more )loudness perfect, light flickers something and invites you to dream, different tones (e.g. melody hears twin 2, heartbeat twin 1) The sound quality is excellent, playing time of 30 min optimal. He is everything in all the best times other music clock I know only to recommend."
317,5,de,Verified,Germany,19/01/2021,,Such a sweet music box! I put myself on early in my pregnancy and I hope my little one will like him even if she is in the world. At the moment I always let the music run to sleep and it is totally reassuring.
319,5,de,Verified,Germany,24/12/2019,,"Super cute otter that our daughter (6 months old ) got at Christmas. The sound effects are good, but we prefer the one from My Hummy. All in all I would order it again immediately, super cute cuddly toy, also suitable for bigger children because it is very big."
320,5,de,Verified,Germany,5/7/2020,,"The otter is so sweet, it was just the perfect gift that I could make for my baby.The many different functions seem a bit much and confusing at first but you learn to deal with them quickly."
321,4,de,Verified,Germany,3/2/2020,,A little expensive but this dimmer light is super... the volume is okay... I find the otter quite large therefore only 4 stars... top is that the otter is washable when you remove the inside.
322,5,de,Verified,Germany,22/01/2020,1,"You can choose all functions individually or together.The sounds of the moving belly sound like slight snoring or breathing sounds, not disturbing at all.We have the otter now for 1 month and would buy it again and again."
324,5,de,Verified,Germany,2/11/2020,,"Was very skeptical if such a cuddly animal can really help. My expectations were more than exceeded. My son 4.5 months sleeps since he has the otter totally calm and relaxed and also at night he helps so that my son finds his sleep faster. Until now my son never slept more than half an hour, then he was awake again And thanks to his otter he just makes his first nap alone in bed and that for 2 hours already."
326,5,de,Verified,Germany,20/02/2021,,Great music box! Great melodies with timer.The mechanical sounds in ‘breath mode' disturb me a bit. As a music box however great to recommend.The fabric is really very soft and the music box inside does not disturb.
327,5,de,Verified,Germany,22/10/2020,,"My baby (3 months) loves the ""Otterlie"" and I also :). The otter has become our ""go to bed"" ritual. Volume is adjustable. Music and also the three sounds (heart knocking, water noises, wind) are also adjustable and very pleasant.I don't want to miss otterlie anymore and would buy it again and again"
328,5,de,Verified,Germany,23/02/2021,,"I can only recommend this otter! It's not only sweet, but also practical!Our daughter calms down with the music. Especially when the dad is no longer on parental leave, the mom can make herself a meal or the laundry or other important things -Of course I am happy when my baby sleeps on me, but it doesn't work all day. Super invention! Thanks for the relief!"
330,2,de,Verified,Germany,4/12/2020,,"So the otter is super cute and I thought it would be a real companion for our son. Unfortunately, it quickly broke, of course, after you could have sent it back.The breathing function no longer works and makes mechanical noises. It should imitate the breathing movement, but it is stuck.Would everything have worked the otter at least 4 stars from us."
331,4,de,Verified,Germany,13/01/2020,,"My son got this otter with 2.5 months, at that time he didn't care about it. Now with 3 months he is starting to like it. The engine noise for the abdominal movement is really loud, but doesn't bother him and you can turn off the individual functions."
332,5,de,Verified,Germany,1/1/2020,,"That's soooo a sweet otter!My little girl thinks it's great, always looks at the light and falls asleep quickly even with the music.What's bothering is something that when the abdominal movement is on, the engine is incredibly loud."
335,4,de,Verified,Germany,19/01/2020,,"The otter is great and our baby loves it. The only flaw is that the batteries are very quickly empty when you have the light on, that attracts quite... Aba he is super sweet and very fluffy. You can adjust the volume and the different program are great. Since babies always react to other sounds and find comforting."
336,5,de,Verified,Germany,19/06/2020,,Super sweet. The volume is optimal. The otter is very soft and very pleasant. Got my sister's otter gift and she was back and forth.
338,5,de,Verified,Germany,10/11/2020,,"Very nice otter from Fisher price, plays beautiful music and has become a sleeping ritual.The only mango is that the belly is very hard and the first 10 minutes louder from the noise level.Otherwise beautiful product."
339,4,de,Verified,Germany,5/3/2021,,Our daughter loves this otter! He has a pleasant song melody and you can change batteries and nothing is broken when printing.The sound of moving the belly is a little louder but it doesn't bother my child. A gentle light on the belly also brings her peace.
340,5,de,Verified,Germany,19/11/2020,,"I ordered and gave away the slumber otter for the second time already. Both times he arrived extremely well and both the mothers and the babies like him. He is very calming and good to fall asleep. Also visually wonderful and fits both for as a gift for a girl, as well as a boy. Give him away again and again :) Tiptop!"
341,5,de,Verified,Germany,16/11/2020,,"The slumber otter is great!You can regulate the volume, choose between music and womb sounds, turn the belly movements on and off and also turn light on and off :)"
342,5,de,Verified,Germany,12/8/2020,,"The otter is totally great for our little ones. Loving details, beautiful sounds and movements that soothe the child. Our little one often sleeps with the otter during the day. In my eyes a great toy and suitable for giving away."
344,5,de,Verified,Germany,3/7/2020,,"Fisher Price's slumber otter is the ideal plush animal to soothe babies and give them a gentle sleep, with familiar breathing movements, almost like in the womb. It's also very good to give away."
345,5,de,Verified,Germany,11/2/2020,,Very sweet otter of the music plays but also makes breath sounds after. I ordered it for my 6 month old daughter. You can also pull it off and wash the fabric easily.
346,1,de,Verified,Germany,16/01/2020,2,"A great gift for babies, our 7 month old daughter is happy when he is at her side. Even our 6 year old sleeps with it a"
347,5,de,Verified,Germany,30/01/2021,,The sleeping otter is sometimes the hero of the evening. With his soothing music he not only brings my son to sleep. I am enthusiastic and can recommend it to any parents for their little ones.
349,5,de,Verified,Germany,5/11/2019,,Sweet part and works. Our grandbaby loves it. The adults must master themselves in order not to constantly press on the otter belly so that he begins to start it... Unfortunately it is quite expensive. But I would buy it again.
350,5,de,Verified,Germany,22/12/2020,,"I have become aware of the slumber otter online and I have to say, it is really great and definitely recommended. Very reassuring and you have so many different functions that you can use."
351,3,de,Verified,Germany,26/05/2020,,"The otter is beautifully processed and has a nice faceThe sounds and music are ok, but they don't help us sleep - so it's just a nice cuddly animal"
352,5,de,Verified,Germany,18/01/2021,,"Great product. A lot of good recessions, which ultimately convinced me to buy this product. I can't say much about it, because this was bought as a gift. Those gifts were happy!"
353,5,de,Verified,Germany,15/01/2021,,"Our daughter loves her otter. He is super cute and has different settings. But we mostly only use the music. A star trigger, because we would like to keep the music a bit quieter."
354,4,de,Verified,Germany,23/11/2020,,The slumber otter actually works for adults as well. Was actually much more a self-experiment. The function was switched to the sleep function (after 30 min the otter goes out automatically).The own breathing comes into a quiet rhythm and thus actually helps to fall asleep.Product so far great. The only thing that bothers me is the shape of the head. In my eyes not really coherent. But half as wild.
